Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
TrueUSD (TUSD),2019-05-30 22:28,Sell,1.35582703,97.47864,132.16,0,Binance,Binance,189704
Bitcoin (BTC),2019-05-31 4:49,Transfer In,11232.77226,0.00260354,29.24,0,Unknown,Main (1MmF...FTTb),2e9be5a2de7f30d6e1be03464b580c6ff202e3c171689c3fefa495482e7f9b33
TrueUSD (TUSD),2019-06-02 23:12,Buy,1.34513757,105.622272,142.22,0.14221871,Binance,Binance,192214
Stellar (XLM),2019-06-02 23:12,Sell,0.18831926,755.2,142.22,0,Binance,Binance,192214
TrueUSD (TUSD),2019-06-03 13:19,Buy,1.34513757,493.2526436,664.16,0.66415682,Binance,Binance,1144266
Bitcoin (BTC),2019-06-03 13:19,Sell,11426.94368,0.058122,664.16,0,Binance,Binance,1144266
Stellar (XLM),2019-06-03 23:50,Buy,0.16625698,755.244,125.69,0.12569028,Binance,Binance,193995
TrueUSD (TUSD),2019-06-03 23:50,Sell,1.34294813,93.5928,125.69,0,Binance,Binance,193995
Bitcoin (BTC),2019-06-04 2:38,Buy,10448.13648,0.06865827,718.07,0.71810042,Binance,Binance,1166083
TrueUSD (TUSD),2019-06-04 2:38,Sell,1.34294813,534.69606,718.07,0,Binance,Binance,1166083
Tether (USDT),2019-06-04 12:15,Buy,1.34026496,545.0582382,731.25,0.73125371,Binance,Binance,131670165
Bitcoin (BTC),2019-06-04 12:15,Sell,10650.67012,0.068658,731.25,0,Binance,Binance,131670165
Bitcoin (BTC),2019-06-04 12:57,Buy,10523.76043,0.06934658,730.52,0.73055945,Binance,Binance,131684485
Tether (USDT),2019-06-04 12:57,Sell,1.34026496,545.054432,730.52,0,Binance,Binance,131684485
Bitcoin (BTC),2019-06-05 5:07,Transfer In,10493.92288,0.00306288,32.14,0,Unknown,Main (1MmF...FTTb),d11f7b2ca38007a129aa4876d2ec714d2d02ec49f9fdd102f60b7934eae46d6f
TrueUSD (TUSD),2019-06-05 10:06,Buy,1.3491207,539.595858,728.71,0.72870864,Binance,Binance,1198885
Bitcoin (BTC),2019-06-05 10:06,Sell,10508.30113,0.069346,728.71,0,Binance,Binance,1198885
Bitcoin (BTC),2019-06-07 4:54,Transfer In,10561.95399,0.00147495,15.58,0,Unknown,Main (1MmF...FTTb),9c88e874250f8040fc47662876dd20332d210a3797e7f3d52b052191388cc22c
Litecoin (LTC),2019-06-07 12:10,Transfer Out,148.7030151,2.54708509,378.76,0,LTC main (LMDL...tNWz),Binance,0000cdd749396004f58dba51eef086f51072f3d7d77d80385e2f8d659275849d
Litecoin (LTC),2019-06-07 12:11,Transfer In,148.7030151,2.54644909,378.66,0,LTC main (LMDL...tNWz),Binance,0000cdd749396004f58dba51eef086f51072f3d7d77d80385e2f8d659275849d
TrueUSD (TUSD),2019-06-07 12:34,Buy,1.33192482,304.9110821,406.53,0.40652517,Binance,Binance,308757
Litecoin (LTC),2019-06-07 12:34,Sell,159.6445095,2.54644,406.53,0,Binance,Binance,308757
Litecoin (LTC),2019-06-11 14:09,Buy,182.370524,2.22516,405.8,0,Binance,Binance,332549
TrueUSD (TUSD),2019-06-11 14:09,Sell,1.33088027,304.9136748,405.8,0.30241608,Binance,Binance,332549
Binance Coin (BNB),2019-06-11 14:09,Fee,42.04749238,0.00719225,0.3,0,Binance,Binance,332549
Litecoin (LTC),2019-06-11 17:03,Buy,192.2361303,0.52071429,100.1,0,Coinbase,Coinbase,824108ed-1109-5cb4-8b78-718b550cba1a
US Dollar (USD),2019-06-11 17:03,Sell,1.3293506,75.3,100.1,0,Coinbase,Coinbase,824108ed-1109-5cb4-8b78-718b550cba1a
Litecoin (LTC),2019-06-12 10:14,Transfer Out,184.2033621,0.52070576,95.92,0.00077365,Coinbase,LTC main (LMDL...tNWz),b9059e6f0744c1c6b1b971e98c1a23b21bb07e2de892f53437015ebd5c13b096
Litecoin (LTC),2019-06-12 10:14,Fee,184.2033621,0.0000042,0,0,Coinbase,Coinbase,b9059e6f0744c1c6b1b971e98c1a23b21bb07e2de892f53437015ebd5c13b096
Litecoin (LTC),2019-06-12 10:17,Transfer In,180.8988367,0.52070576,94.2,0,Coinbase,LTC main (LMDL...tNWz),b9059e6f0744c1c6b1b971e98c1a23b21bb07e2de892f53437015ebd5c13b096
TrueUSD (TUSD),2019-06-12 10:53,Buy,1.32797915,20.09682,26.69,0,Binance,Binance,337096
Litecoin (LTC),2019-06-12 10:53,Sell,185.8506821,0.1436,26.69,0.01993851,Binance,Binance,337096
Binance Coin (BNB),2019-06-12 10:53,Fee,44.7834989,0.00044522,0.02,0,Binance,Binance,337096
TrueUSD (TUSD),2019-06-12 10:53,Buy,1.32797915,291.314322,386.86,0,Binance,Binance,337097
Litecoin (LTC),2019-06-12 10:53,Sell,185.8506821,2.08156,386.86,0.28902195,Binance,Binance,337097
Binance Coin (BNB),2019-06-12 10:53,Fee,44.7834989,0.00645376,0.29,0,Binance,Binance,337097
Bitcoin (BTC),2019-06-12 11:12,Buy,10919.83975,0.011032,120.47,0,Binance,Binance,1303099
Bitcoin (BTC),2019-06-12 11:12,Buy,10919.86631,0.054589,596.1,0,Binance,Binance,1303100
TrueUSD (TUSD),2019-06-12 11:12,Sell,1.32797915,90.7150328,120.47,0.08969379,Binance,Binance,1303099
TrueUSD (TUSD),2019-06-12 11:12,Sell,1.32797915,448.8809799,596.1,0.44391591,Binance,Binance,1303100
Binance Coin (BNB),2019-06-12 11:12,Fee,44.99064132,0.00199361,0.09,0,Binance,Binance,1303099
Binance Coin (BNB),2019-06-12 11:12,Fee,44.99064132,0.00986685,0.44,0,Binance,Binance,1303100
Litecoin (LTC),2019-06-12 13:07,Buy,182.8228896,1.49595,273.49,0,Binance,Binance,337790
TrueUSD (TUSD),2019-06-12 13:07,Sell,1.32797915,205.9474365,273.49,0.20479833,Binance,Binance,337790
Binance Coin (BNB),2019-06-12 13:07,Fee,45.0924819,0.00454174,0.2,0,Binance,Binance,337790
Litecoin (LTC),2019-06-12 13:07,Buy,182.8228896,0.76607,140.06,0,Binance,Binance,337799
TrueUSD (TUSD),2019-06-12 13:07,Sell,1.32797915,105.4648569,140.06,0.10497936,Binance,Binance,337799
Binance Coin (BNB),2019-06-12 13:07,Fee,45.0924819,0.00232809,0.1,0,Binance,Binance,337799
Ethereum (ETH),2019-06-12 14:02,Buy,358.231062,0.13935658,49.92,0,Coinbase,Coinbase,f53fab34-7ab7-5553-9cf3-daf3b0fa8532
US Dollar (USD),2019-06-12 14:02,Sell,1.33124948,37.5,49.92,0,Coinbase,Coinbase,f53fab34-7ab7-5553-9cf3-daf3b0fa8532
TrueUSD (TUSD),2019-06-12 14:47,Buy,1.32797915,312.7614,415.34,0,Binance,Binance,338877
Litecoin (LTC),2019-06-12 14:47,Sell,183.7790346,2.26,415.34,0.31062787,Binance,Binance,338877
Binance Coin (BNB),2019-06-12 14:47,Fee,45.64814544,0.00680483,0.31,0,Binance,Binance,338877
TrueUSD (TUSD),2019-06-12 14:47,Buy,1.32797915,0.2795478,0.37,0,Binance,Binance,338878
Litecoin (LTC),2019-06-12 14:47,Sell,183.7790346,0.00202,0.37,0.00027754,Binance,Binance,338878
Binance Coin (BNB),2019-06-12 14:47,Fee,45.64814544,0.00000608,0,0,Binance,Binance,338878
Bitcoin (BTC),2019-06-13 10:39,Buy,10820.85237,0.0020148,21.8,0,Binance,Binance,49997871
Binance Coin (BNB),2019-06-13 10:39,Sell,47.3953334,0.46034418,21.82,0.01631253,Binance,Binance,49997871
Bitcoin (BTC),2019-06-13 10:39,Buy,10820.85237,0.0218781,236.98,0.23697667,Binance,Binance,49997872
Binance Coin (BNB),2019-06-13 10:39,Sell,47.3953334,5,236.98,0,Binance,Binance,49997872
Binance Coin (BNB),2019-06-13 17:53,Buy,46.46644251,13.489875,627.3,0.47047273,Binance,Binance,50063284
Bitcoin (BTC),2019-06-13 17:53,Sell,11063.17528,0.05670135,627.3,0,Binance,Binance,50063284
Bitcoin (BTC),2019-06-14 5:00,Transfer In,11089.91172,0.00169494,18.8,0,Unknown,Main (1MmF...FTTb),9fdf3605340167df8c52621d1074213bc14429456d542f1eb4b3c550e83e14d1
Bitcoin (BTC),2019-06-14 17:17,Buy,11511.11453,0.036434,419.4,0,Binance,Binance,1340548
TrueUSD (TUSD),2019-06-14 17:17,Sell,1.33974797,313.040928,419.4,0.31338359,Binance,Binance,1340548
Binance Coin (BNB),2019-06-14 17:17,Fee,42.01393031,0.00745904,0.31,0,Binance,Binance,1340548
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.00003703,0.43,0,Binance,Binance,50399222
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.00499838,57.5,0,Binance,Binance,50399223
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.00333171,38.33,0,Binance,Binance,50399224
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.0078108,89.86,0,Binance,Binance,50399225
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.00184905,21.29,0.0212828,Binance,Binance,50399226
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.003698,42.59,0.0425656,Binance,Binance,50399227
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.0099846,114.98,0.11492711,Binance,Binance,50399228
Bitcoin (BTC),2019-06-14 18:27,Buy,11504.21568,0.00636038,73.24,0.07328185,Binance,Binance,50399229
Binance Coin (BNB),2019-06-14 18:27,Sell,42.59550898,0.0100081,0.43,0.00034502,Binance,Binance,50399222
Binance Coin (BNB),2019-06-14 18:27,Sell,42.59435855,1.3510128,57.55,0.04313957,Binance,Binance,50399223
Binance Coin (BNB),2019-06-14 18:27,Sell,42.58745603,0.90067452,38.36,0.02872609,Binance,Binance,50399224
Binance Coin (BNB),2019-06-14 18:27,Sell,42.5863056,2.11158199,89.92,0.06737111,Binance,Binance,50399225
Binance Coin (BNB),2019-06-14 18:27,Sell,42.5863056,0.5,21.29,0,Binance,Binance,50399226
Binance Coin (BNB),2019-06-14 18:27,Sell,42.58515518,1,42.59,0,Binance,Binance,50399227
Binance Coin (BNB),2019-06-14 18:27,Sell,42.58515518,2.7,114.98,0,Binance,Binance,50399228
Binance Coin (BNB),2019-06-14 18:27,Sell,42.58400476,1.72,73.24,0,Binance,Binance,50399229
Bitcoin (BTC),2019-06-17 13:48,Transfer Out,12384.37737,0.07038332,871.65,6.19218869,Binance,Main (1MmF...FTTb),df32641e5efb43ab992ddd31298f23861e89e51f795b5b8c3ff2279d1b00ef4d
Bitcoin (BTC),2019-06-17 13:48,Fee,12384.37737,0.0005,6.19,0,Binance,Binance,df32641e5efb43ab992ddd31298f23861e89e51f795b5b8c3ff2279d1b00ef4d
Bitcoin (BTC),2019-06-17 13:54,Transfer In,12392.11281,0.07038332,872.2,0,Binance,Main (1MmF...FTTb),df32641e5efb43ab992ddd31298f23861e89e51f795b5b8c3ff2279d1b00ef4d
Ethereum (ETH),2019-06-17 15:02,Transfer Out,365.8672168,0.13893153,50.83,0.15366423,Coinbase,0x653e4B2cc1fc0875A5dc257c9909f44A86837595,0xae4a83d2a02fc8fc57813efaa9a56005602b8ac0a41d188631dc731a81222c16
Ethereum (ETH),2019-06-17 15:02,Fee,365.8672168,0.00042,0.15,0,Coinbase,Coinbase,0xae4a83d2a02fc8fc57813efaa9a56005602b8ac0a41d188631dc731a81222c16
Cardano (ADA),2019-06-18 13:51,Buy,0.12015243,"1,006.99",121.11,0.12111365,Binance,Binance,28898443
Bitcoin (BTC),2019-06-18 13:51,Sell,12112.13972,0.00999936,121.11,0,Binance,Binance,28898443
Bitcoin (BTC),2019-06-20 8:11,Buy,12196.06694,0.04085568,498.78,0.49881914,Binance,Binance,51219499
Binance Coin (BNB),2019-06-20 8:11,Sell,48.47204844,10.29,498.78,0,Binance,Binance,51219499
Bitcoin (BTC),2019-06-21 4:58,Transfer In,12826.095,0.00244942,31.42,0,Unknown,Main (1MmF...FTTb),a02aa13d7bf1386795b02e8b606b84d6e549afa7e2271fffb21a32858531ab64
Ethereum (ETH),2019-06-21 12:39,Buy,398.480624,0.18810758,74.96,0,Coinbase,Coinbase,6b65e612-ccbd-5422-b437-f92ac87fc978
US Dollar (USD),2019-06-21 12:39,Sell,1.32223013,56.69,74.96,0,Coinbase,Coinbase,6b65e612-ccbd-5422-b437-f92ac87fc978
Ethereum (ETH),2019-06-21 12:51,Transfer Out,380.9625292,0.18798928,71.62,0.04800128,Coinbase,0x653e4B2cc1fc0875A5dc257c9909f44A86837595,0x90d138c1dbf9ad7eb2a073e09d1109ba6f0a492e2c418a53be7e6cfdc4fc4efd
Ethereum (ETH),2019-06-21 12:51,Fee,380.9625292,0.000126,0.05,0,Coinbase,Coinbase,0x90d138c1dbf9ad7eb2a073e09d1109ba6f0a492e2c418a53be7e6cfdc4fc4efd
TrueUSD (TUSD),2019-06-21 13:31,Buy,1.32277783,98.46655488,130.38,0.13037976,Binance,Binance,1471603
Bitcoin (BTC),2019-06-21 13:31,Sell,13121.95612,0.009936,130.38,0,Binance,Binance,1471603
TrueUSD (TUSD),2019-06-21 13:31,Buy,1.32277783,129.7328573,171.78,0.17177953,Binance,Binance,1471604
Bitcoin (BTC),2019-06-21 13:31,Sell,13121.95612,0.013091,171.78,0,Binance,Binance,1471604
TrueUSD (TUSD),2019-06-21 13:31,Buy,1.32277783,105.2252294,139.33,0.13932893,Binance,Binance,1471605
Bitcoin (BTC),2019-06-21 13:31,Sell,13121.95612,0.010618,139.33,0,Binance,Binance,1471605
Bitcoin (BTC),2019-06-21 21:57,Buy,13895.72481,0.024975,347.39,0.34739312,Binance,Binance,1485002
TrueUSD (TUSD),2019-06-21 21:57,Sell,1.32519074,262.14575,347.39,0,Binance,Binance,1485002
Bitcoin (BTC),2019-06-21 21:57,Buy,13895.72481,0.0067902,94.45,0.09449093,Binance,Binance,1485003
TrueUSD (TUSD),2019-06-21 21:57,Sell,1.32519074,71.27218651,94.45,0,Binance,Binance,1485003
TrueUSD (TUSD),2019-06-27 5:12,Buy,1.31926948,742.2093376,980.15,0.98015428,Binance,Binance,1738587
Bitcoin (BTC),2019-06-27 5:12,Sell,14984.7773,0.06541,980.15,0,Binance,Binance,1738587
EOS,2019-06-27 10:38,Buy,8.63485623,17.3831,150.1,0,Coinbase,Coinbase,175018ff-6e6d-5407-871f-20fddbfeba02
US Dollar (USD),2019-06-27 10:38,Sell,1.3103498,114.55,150.1,0,Coinbase,Coinbase,175018ff-6e6d-5407-871f-20fddbfeba02
Binance Coin (BNB),2019-06-27 11:47,Buy,46.4382858,5.296025,246.12,0.18459219,Binance,Binance,372503
TrueUSD (TUSD),2019-06-27 11:47,Sell,1.31926948,186.56,246.12,0,Binance,Binance,372503
Binance Coin (BNB),2019-06-27 11:47,Buy,46.4382858,5.176115,240.55,0.18041274,Binance,Binance,372504
TrueUSD (TUSD),2019-06-27 11:47,Sell,1.31926948,182.336,240.55,0,Binance,Binance,372504
Bitcoin (BTC),2019-06-27 12:23,Buy,14511.96431,0.03370326,489.59,0.48963368,Binance,Binance,1767814
TrueUSD (TUSD),2019-06-27 12:23,Sell,1.31926948,371.107,489.59,0,Binance,Binance,1767814
Bitcoin (BTC),2019-06-27 23:12,Buy,14615.63431,0.03221535,471.32,0.47135421,Binance,Binance,52657226
Binance Coin (BNB),2019-06-27 23:12,Sell,45.01615367,10.47,471.32,0,Binance,Binance,52657226
TrueUSD (TUSD),2019-06-28 2:11,Buy,1.32613976,747.4324694,992.19,0.99219211,Binance,Binance,1820138
Bitcoin (BTC),2019-06-28 2:11,Sell,15051.68627,0.065919,992.19,0,Binance,Binance,1820138
EOS,2019-06-28 10:22,Transfer Out,7.75802691,17.3825,134.85,0,Coinbase,Binance,a5a29e79c11e7139150971ca6725c85f54ab479c41eeedec261db1c07e1e911d
EOS,2019-06-28 10:26,Transfer In,7.74638424,17.3825,134.65,0,Coinbase,Binance,a5a29e79c11e7139150971ca6725c85f54ab479c41eeedec261db1c07e1e911d
Bitcoin (BTC),2019-06-28 10:37,Buy,15571.1036,0.00203909,31.75,0,Binance,Binance,39821983
EOS,2019-06-28 10:37,Sell,7.91790618,4.01,31.75,0.02382981,Binance,Binance,39821983
Binance Coin (BNB),2019-06-28 10:37,Fee,45.07075805,0.00052872,0.02,0,Binance,Binance,39821983
Bitcoin (BTC),2019-06-28 10:39,Buy,15594.55872,0.00679185,106.02,0.106043,Binance,Binance,39822069
EOS,2019-06-28 10:39,Sell,7.92983311,13.37,106.02,0,Binance,Binance,39822069
Bitcoin (BTC),2019-06-28 11:32,Buy,15795.38545,0.002087,32.96,0,Binance,Binance,1844224
Bitcoin (BTC),2019-06-28 11:32,Buy,15795.41198,0.06079015,961.17,0.96115082,Binance,Binance,1844225
TrueUSD (TUSD),2019-06-28 11:32,Sell,1.32613976,24.8578396,32.96,0.02454105,Binance,Binance,1844224
TrueUSD (TUSD),2019-06-28 11:32,Sell,1.32613976,724.7853078,961.17,0,Binance,Binance,1844225
Binance Coin (BNB),2019-06-28 11:32,Fee,45.3766433,0.00054083,0.02,0,Binance,Binance,1844224
Bitcoin (BTC),2019-06-28 15:45,Transfer In,16148.88248,0.00211438,34.14,0,Unknown,Main (1MmF...FTTb),3d4cb321f7edf3720504f0f33c43e341ea30e3e53024ce05bf4187cd851ddd54
Bitcoin (BTC),2019-06-28 22:05,Buy,16064.15659,0.0093497,150.2,0,Coinbase,Coinbase,c45b0bd7-fd0d-5a6f-8f1f-8cbbc22bfcf8
US Dollar (USD),2019-06-28 22:05,Sell,1.31254955,114.43,150.2,0,Coinbase,Coinbase,c45b0bd7-fd0d-5a6f-8f1f-8cbbc22bfcf8
Bitcoin (BTC),2019-06-30 10:06,Buy,15229.79077,0.00329133,50.13,0,Coinbase,Coinbase,14f185ea-42f3-59bf-9f65-50a9a3755514
US Dollar (USD),2019-06-30 10:06,Sell,1.31254955,38.19,50.13,0,Coinbase,Coinbase,14f185ea-42f3-59bf-9f65-50a9a3755514
Binance Coin (BNB),2019-07-01 10:21,Buy,43.05999167,11.6212775,500.79,0.37559078,Binance,Binance,53156443
Bitcoin (BTC),2019-07-01 10:21,Sell,13971.44441,0.03584366,500.79,0,Binance,Binance,53156443
Bitcoin (BTC),2019-07-02 0:26,Buy,13243.42004,0.03714682,492.44,0.49239036,Binance,Binance,53247995
Binance Coin (BNB),2019-07-02 0:26,Sell,42.37894414,11.62,492.44,0,Binance,Binance,53247995
Bitcoin (BTC),2019-07-02 0:32,Buy,13654.96025,0.00366451,50.04,0,Coinbase,Coinbase,05a13f36-d7e7-57b4-80b8-e3d8630ed3a0
US Dollar (USD),2019-07-02 0:32,Sell,1.31094416,38.17,50.04,0,Coinbase,Coinbase,05a13f36-d7e7-57b4-80b8-e3d8630ed3a0
Binance Coin (BNB),2019-07-02 1:56,Buy,41.96059236,11.2215775,471.22,0.35341309,Binance,Binance,53288315
Bitcoin (BTC),2019-07-02 1:56,Sell,12910.9515,0.0364975,471.22,0,Binance,Binance,53288315
Bitcoin (BTC),2019-07-02 11:02,Buy,13744.69887,0.00695497,95.59,0,Binance,Binance,53388602
Bitcoin (BTC),2019-07-02 11:02,Buy,13744.69887,0.00888968,122.19,0,Binance,Binance,53388603
Bitcoin (BTC),2019-07-02 11:02,Buy,13744.69887,0.01806245,248.51,0.24850416,Binance,Binance,53388604
Binance Coin (BNB),2019-07-02 11:02,Sell,41.56259491,2.30172342,95.67,0.07162981,Binance,Binance,53388602
Binance Coin (BNB),2019-07-02 11:02,Sell,41.55984597,2.94220449,122.28,0.09161826,Binance,Binance,53388603
Binance Coin (BNB),2019-07-02 11:02,Sell,41.55709703,5.98,248.51,0,Binance,Binance,53388604
Ethereum (ETH),2019-07-02 15:59,Buy,378.4131663,1.313685,497.61,0.49761331,Binance,Binance,131553858
Ethereum (ETH),2019-07-02 15:59,Buy,378.4131663,1.313685,497.61,0.49761331,Binance,Binance,131553858
Bitcoin (BTC),2019-07-02 15:59,Sell,14135.18981,0.03520387,497.61,0,Binance,Binance,131553858
Bitcoin (BTC),2019-07-02 15:59,Sell,14135.18981,0.03520387,497.61,0,Binance,Binance,131553858
Ethereum (ETH),2019-07-03 20:42,Buy,411.3809019,0.12163947,50.04,0,Coinbase,Coinbase,2ecbf97a-0946-5d59-9d5c-ad79079f62aa
US Dollar (USD),2019-07-03 20:42,Sell,1.30584955,38.32,50.04,0,Coinbase,Coinbase,2ecbf97a-0946-5d59-9d5c-ad79079f62aa
GAS,2019-07-04 10:15,Airdrop,4.28587128,0.09652962,0.41,0,Binance,Binance,4863113153
Bitcoin (BTC),2019-07-05 4:58,Transfer In,14282.8614,0.0017497,24.99,0,Unknown,Main (1MmF...FTTb),868c2c70de46282d3aa266794616fee96589a6698302ff4ec325ca6498d3cb1b
DASH,2019-07-09 15:42,Transfer Out,208.9016284,0.123194,25.74,0.41780326,Binance,XrCpnpEsyXzwvTzL4XUdTXWgbDZo4YzWXS,7842767d202dc37764200fb8bcb9eeddd99bde3a4d5112ffd2defda87562862e
DASH,2019-07-09 15:42,Fee,208.9016284,0.002,0.42,0,Binance,Binance,7842767d202dc37764200fb8bcb9eeddd99bde3a4d5112ffd2defda87562862e
Ethereum (ETH),2019-07-09 15:47,Transfer Out,402.4855154,1.303685,524.71,4.02485515,Binance,0x653e4b2cc1fc0875a5dc257c9909f44a86837595,0x5c036bd9c5fa521ccd77191b990a66e4897aa56d24539dea2653aaec73de160f
Ethereum (ETH),2019-07-09 15:47,Fee,402.4855154,0.01,4.02,0,Binance,Binance,0x5c036bd9c5fa521ccd77191b990a66e4897aa56d24539dea2653aaec73de160f
Bitcoin (BTC),2019-07-09 17:49,Buy,17332.80141,0.00288389,49.99,0,Coinbase,Coinbase,d058c01f-0f70-569c-9ad3-e4e8a3328896
US Dollar (USD),2019-07-09 17:49,Sell,1.31231013,38.09,49.99,0,Coinbase,Coinbase,d058c01f-0f70-569c-9ad3-e4e8a3328896
Bitcoin (BTC),2019-07-10 9:48,Transfer Out,17160.55041,0.01908963,327.59,1.71262293,Coinbase,Main (1MmF...FTTb),394840cb2ac7e7c1a459960cf642e6a51a55e67da7cf0cba1a09e07f426fb8c6
Bitcoin (BTC),2019-07-10 9:48,Fee,17160.55041,0.0000998,1.71,0,Coinbase,Coinbase,394840cb2ac7e7c1a459960cf642e6a51a55e67da7cf0cba1a09e07f426fb8c6
Chainlink (LINK),2019-07-10 9:48,Buy,4.18152205,23.94729703,100.14,0,Coinbase,Coinbase,546945ee-14c2-50f5-82b9-d760bd45fa68
US Dollar (USD),2019-07-10 9:48,Sell,1.30914042,76.49,100.14,0,Coinbase,Coinbase,546945ee-14c2-50f5-82b9-d760bd45fa68
Ethereum (ETH),2019-07-10 9:52,Transfer Out,404.2265173,0.12149597,49.11,0.0594213,Coinbase,0x653e4B2cc1fc0875A5dc257c9909f44A86837595,0x39068771cddc9b8f08eaa5ac5c8ef015af7289a50c702df3cd2597e72d50dcd2
Ethereum (ETH),2019-07-10 9:52,Fee,404.2265173,0.000147,0.06,0,Coinbase,Coinbase,0x39068771cddc9b8f08eaa5ac5c8ef015af7289a50c702df3cd2597e72d50dcd2
Bitcoin (BTC),2019-07-10 10:01,Transfer In,17081.38926,0.01908963,326.08,0,Coinbase,Main (1MmF...FTTb),394840cb2ac7e7c1a459960cf642e6a51a55e67da7cf0cba1a09e07f426fb8c6
Bitcoin (BTC),2019-07-10 15:54,Buy,16584.40848,0.00301859,50.06,0,Coinbase,Coinbase,8786bc21-8592-524c-b711-e61b076c8283
US Dollar (USD),2019-07-10 15:54,Sell,1.30914042,38.24,50.06,0,Coinbase,Coinbase,8786bc21-8592-524c-b711-e61b076c8283
Bitcoin (BTC),2019-07-11 13:39,Buy,15997.74843,0.00650407,104.05,0,Coinbase,Coinbase,0def353b-f3c5-56d8-8d44-8432eb9e8c90
US Dollar (USD),2019-07-11 13:39,Sell,1.30765962,79.57,104.05,0,Coinbase,Coinbase,0def353b-f3c5-56d8-8d44-8432eb9e8c90
Binance Coin (BNB),2019-07-12 1:15,Buy,42.21178891,6.135395,259.18,0.19438529,Binance,Binance,54654171
Bitcoin (BTC),2019-07-12 1:15,Sell,14733.60869,0.0175911,259.18,0,Binance,Binance,54654171
Bitcoin (BTC),2019-07-12 5:11,Transfer In,15153.1636,0.00114446,17.34,0,Unknown,Main (1MmF...FTTb),db3457f4956aaf8c2cd6bd14545d74d71bb97d26b0ca84c978e1fd140ddad8e2
Bitcoin (BTC),2019-07-14 10:26,Buy,14584.40764,0.00343334,50.07,0,Coinbase,Coinbase,986cb52d-7673-5b6a-8552-6ce2b6aa18af
US Dollar (USD),2019-07-14 10:26,Sell,1.30535011,38.36,50.07,0,Coinbase,Coinbase,986cb52d-7673-5b6a-8552-6ce2b6aa18af
Chainlink (LINK),2019-07-14 17:15,Transfer Out,3.81674034,23.94729703,91.4,0,Coinbase,Binance,0x57cb2a47f09bdb07cf48daffffd578cb862306c0afc3cc6df229394221b59f7e
Chainlink (LINK),2019-07-14 17:19,Transfer In,4.1524254,23.94729703,99.44,0,Coinbase,Binance,0x57cb2a47f09bdb07cf48daffffd578cb862306c0afc3cc6df229394221b59f7e
Bitcoin (BTC),2019-07-16 12:32,Buy,13601.88895,0.00564909,76.84,0,Coinbase,Coinbase,e28ce643-5017-593b-bfef-ee90f7377869
US Dollar (USD),2019-07-16 12:32,Sell,1.30588536,58.84,76.84,0,Coinbase,Coinbase,e28ce643-5017-593b-bfef-ee90f7377869
Bitcoin (BTC),2019-07-16 19:31,Transfer In,12352.52637,0.00927427,114.56,0,Unknown,Bitcoin Segwit (bc1q...e4hj),1469b12b611fa45a9eeb7c0aee1617c2f9e07c82840ccf8c66e311d5baaa96ab
Litecoin (LTC),2019-07-18 19:22,Buy,143.5789604,0.38439387,55.19,0,Coinbase,Coinbase,e4baf674-9e66-5753-9ee5-e70631584fb9
US Dollar (USD),2019-07-18 19:22,Sell,1.30815056,42.19,55.19,0,Coinbase,Coinbase,e4baf674-9e66-5753-9ee5-e70631584fb9
Stellar (XLM),2019-07-19 0:35,Transfer In,0.11579629,608.3138422,70.44,0,Unknown,Binance,ae32e5c8126475b2a0da93870556c85fd7e4bbc66358ee881987f6db6a80b058
Bitcoin (BTC),2019-07-23 21:27,Buy,13309.66136,0.00375401,49.96,0,Coinbase,Coinbase,43550e01-9a36-515e-bf10-98e93b9b7d66
US Dollar (USD),2019-07-23 21:27,Sell,1.31347534,38.04,49.96,0,Coinbase,Coinbase,43550e01-9a36-515e-bf10-98e93b9b7d66
Bitcoin (BTC),2019-07-24 21:07,Buy,14440.0032,0.00138489,20,0,Coinbase,Coinbase,9a67a7f3-0e2e-55d2-9625-b9a59f5be02f
US Dollar (USD),2019-07-24 21:07,Sell,1.31564579,15.2,20,0,Coinbase,Coinbase,9a67a7f3-0e2e-55d2-9625-b9a59f5be02f
TrueUSD (TUSD),2019-07-26 20:11,Buy,1.31993226,175.7216025,232.17,0.23217278,Binance,Binance,2674511
Bitcoin (BTC),2019-07-26 20:11,Sell,13172.92397,0.017625,232.17,0,Binance,Binance,2674511
Bitcoin (BTC),2019-07-29 10:29,Transfer In,12571.69168,0.03469209,436.14,0,Unknown,Binance,6920e86c8e5446118660bc5341bc785543ddb8c305aa61cc087abba00778b6ca
TrueUSD (TUSD),2019-07-29 10:47,Buy,1.31252477,329.8084494,433.32,0.43331508,Binance,Binance,2710512
Bitcoin (BTC),2019-07-29 10:47,Sell,12489.98569,0.034693,433.32,0,Binance,Binance,2710512
GAS,2019-08-02 22:47,Airdrop,2.76751553,0.09974727,0.28,0,Binance,Binance,5092560083
