Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
TrueUSD (TUSD),2019-05-10 10:56,Transfer In,1.35289365,925.5967009,1252.23,0,Bittrex,Wallace ETH (0xf5...76A0),0x32d04c6ca73020f3173f3c9fe4308693c0864eb54831a959d0f9ee76290cb721
TrueUSD (TUSD),2019-05-10 10:56,Transfer Out,1.35289365,925.5967009,1252.23,1.35289365,Bittrex,0xf58CbA27c683bC918566CBAC888D3Fab5BF076A0,0x32d04c6ca73020f3173f3c9fe4308693c0864eb54831a959d0f9ee76290cb721
TrueUSD (TUSD),2019-05-10 10:56,Fee,1.35289365,1,1.35,0,Bittrex,Bittrex,0x32d04c6ca73020f3173f3c9fe4308693c0864eb54831a959d0f9ee76290cb721
Ethereum (ETH),2019-05-10 23:21,Transfer In,237.4935074,0.25410911,60.35,0,0x653e4b2cc1fc0875a5dc257c9909f44a86837595,Wallace ETH (0xf5...76A0),0x2fb2bede2ebfd7c21903fd6b833d63f2f508e203bd7a8dba5a822b59e5c2da78
TrueUSD (TUSD),2019-05-10 23:23,Transfer Out,1.3501504,925.5967009,1249.69,0.0501432,Wallace ETH (0xf5...76A0),Bittrex,0x35037a87d017a995fc0cb5535a0142dee2c3ae7c19984a1be987c342fd54514f
Ethereum (ETH),2019-05-10 23:23,Fee,237.2384988,0.00021136,0.05,0,Wallace ETH (0xf5...76A0),Wallace ETH (0xf5...76A0),0x35037a87d017a995fc0cb5535a0142dee2c3ae7c19984a1be987c342fd54514f
TrueUSD (TUSD),2019-05-10 23:35,Transfer In,1.3501504,925.5967009,1249.69,0,0xf58cba27c683bc918566cbac888d3fab5bf076a0,Bittrex,0xb9c4e5d07db8605fe203aa157059d6895f6bf2ea2a2ec39732179e8845e0a369
Ethereum (ETH),2019-05-10 23:37,Transfer Out,237.1579698,0.25377175,60.18,0.0298819,Wallace ETH (0xf5...76A0),0x653e4b2cc1fc0875a5dc257c9909f44a86837595,0x0b9301ee5e88c80bd81266d4d42208cf8eb11bbb5411dc0312bfa4c7498a540c
Ethereum (ETH),2019-05-10 23:37,Fee,237.1579698,0.000126,0.03,0,Wallace ETH (0xf5...76A0),Wallace ETH (0xf5...76A0),0x0b9301ee5e88c80bd81266d4d42208cf8eb11bbb5411dc0312bfa4c7498a540c
Bitcoin (BTC),2019-05-11 2:13,Buy,9240.485135,0.13490316,1249.69,3.12411562,Bittrex,Bittrex,ebba2ed3-3948-425c-b317-ee1246c3ac6f
TrueUSD (TUSD),2019-05-11 2:13,Sell,1.3501504,925.5967009,1249.69,0,Bittrex,Bittrex,ebba2ed3-3948-425c-b317-ee1246c3ac6f
TrueUSD (TUSD),2019-05-12 0:29,Buy,1.34403068,968.937101,1302.28,0,Bittrex,Bittrex,1d6a56e9-62ac-45e3-9a62-df736ef7fd6f
Bitcoin (BTC),2019-05-12 0:29,Sell,9680.428921,0.13486353,1305.54,3.25562505,Bittrex,Bittrex,1d6a56e9-62ac-45e3-9a62-df736ef7fd6f
Bitcoin (BTC),2019-05-12 15:05,Buy,9479.693169,0.13703246,1302.28,3.25551623,Bittrex,Bittrex,e3e9508b-18a1-4d00-855a-316a32c4e1e0
TrueUSD (TUSD),2019-05-12 15:05,Sell,1.34403068,968.937101,1302.28,0,Bittrex,Bittrex,e3e9508b-18a1-4d00-855a-316a32c4e1e0
